,train_rmse,test_rmse,test_mae,test_r2
Random Forest,0.6451351465332434,0.6575161766140826,0.47179469051936895,0.4513083613136636
Decision Tree,0.6697831366662653,0.6821788595157897,0.48487970803637215,0.4093748021440333
Linear Regression (OLS),0.7354026779836643,0.7516892754599948,0.5507006460236942,0.2828794527886367
SGD Linear Regression (stochastic),0.7373945470509974,0.7566966283606746,0.5521920766456008,0.2732934815137902
